2021-06-27 21:06:490 INFO  BuildYourOwnComputerPage :57 - Verify User Navigate to Build your own Computer product page [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-27 21:06:290 INFO  BuildYourOwnComputerPage :64 - select the processor from drop down [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //select[@id='product_attribute_1']]
2021-06-27 21:06:587 INFO  BuildYourOwnComputerPage :70 - select the Ram from drop down [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //select[@id='product_attribute_2']]
2021-06-27 21:06:729 INFO  BuildYourOwnComputerPage :76 - click On Hdd from radio button [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //dd[@id='product_attribute_input_3']//label[text()='400 GB [+$100.00]']]
2021-06-27 21:06:855 INFO  BuildYourOwnComputerPage :83 - Click on Os Radio from list[[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //input[@id='product_attribute_4_9']]
2021-06-27 21:06:65 INFO  BuildYourOwnComputerPage :90 - Click on MicrosoftOffice from checkbox [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //input[@id='product_attribute_5_10']]
2021-06-27 21:06:211 INFO  BuildYourOwnComputerPage :96 - Click on Total Commander [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //input[@id='product_attribute_5_12' and @ name='product_attribute_5']]
2021-06-27 21:06:255 INFO  BuildYourOwnComputerPage :100 - Verify  the total Price $1475.00 [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //span[@id='price-value-1']]
2021-06-27 21:06:472 INFO  BuildYourOwnComputerPage :106 - Click add to cart [[ChromeDriver: chrome on WINDOWS (b3e722d8f25a4727cc18189110e4e108)] -> xpath: //button[@id='add-to-cart-button-1']]
2021-06-27 21:06:842 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 21:06:311 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (54a3d96651895b31eef9f04dc64d7860)] -> link text: Computers]
2021-06-27 21:06:876 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 21:06:144 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (91cf41b7621c0151b51de2d3b9011d4f)] -> link text: Computers]
2021-06-27 21:06:218 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 21:06:522 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f13c030fc2e3d8c7f382f6bcf1ca6333)] -> link text: Computers]
